"","enddate","JCP.Close","lag","log.return","observation"
"130","2016-06-23",8.55,8.42,0.0153214546944338,130
"131","2016-06-24",8.46,8.55,-0.0105821093305369,131
"132","2016-06-27",8.43,8.46,-0.00355240160436798,132
"133","2016-06-28",8.69,8.43,0.0303761672635368,133
"134","2016-06-29",8.88,8.69,0.0216286177267779,134
"135","2016-06-30",8.88,8.88,0,135
"136","2016-07-01",8.93,8.88,0.00561483788432904,136
"137","2016-07-05",8.66,8.93,-0.0307016723140641,137
"138","2016-07-06",8.54,8.66,-0.0139537147738653,138
"139","2016-07-07",8.47,8.54,-0.00823049913651541,139
"140","2016-07-08",8.49,8.47,0.00235849165929292,140
"141","2016-07-11",8.68,8.49,0.0221325283490028,141
"142","2016-07-12",8.56,8.68,-0.0139213385186081,142
"143","2016-07-13",8.49,8.56,-0.00821118983039471,143
"144","2016-07-14",8.57,8.49,0.00937873228643271,144
"145","2016-07-15",8.46,8.57,-0.0129185589915566,145
"146","2016-07-18",8.7,8.46,0.0279738520424058,146
"147","2016-07-19",8.55,8.7,-0.0173917427118688,147
"148","2016-07-20",8.87,8.55,0.0367435133728189,148
"149","2016-07-21",9.09,8.87,0.0245001118678996,149
"150","2016-07-22",9.15,9.09,0.00657897109804262,150
"151","2016-07-25",9.47,9.15,0.0343750279105568,151
"152","2016-07-26",9.65,9.47,0.0188290081529079,152
"153","2016-07-27",9.4,9.65,-0.0262482260749364,153
"154","2016-07-28",9.49,9.4,0.00952892334587796,154
"155","2016-07-29",9.66,9.49,0.0177550356025904,155
"156","2016-08-01",9.71,9.66,0.00516263407880668,156
"157","2016-08-02",9.28,9.71,-0.0452947355051241,157
"158","2016-08-03",9.13,9.28,-0.0162958521912322,158
"159","2016-08-04",9.2,9.13,0.00763778944811744,159
"160","2016-08-05",9.39,9.2,0.020441809165177,160
"161","2016-08-08",9.5,9.39,0.0116465053863237,161
"162","2016-08-09",9.34,9.5,-0.0169855463657442,162
"163","2016-08-10",9.15,9.34,-0.020552372953321,163
"164","2016-08-11",9.94,9.15,0.0828131413810524,164
"165","2016-08-12",10.55,9.94,0.0595588392535928,165
"166","2016-08-15",11.29,10.55,0.067791518239495,166
"167","2016-08-16",11.15,11.29,-0.0124778802554424,167
"168","2016-08-17",10.75,11.15,-0.0365337433324564,168
"169","2016-08-18",10.28,10.75,-0.0447054945466525,169
"170","2016-08-19",10.25,10.28,-0.00292255444260192,170
"171","2016-08-22",10.1,10.25,-0.0147422817372034,171
"172","2016-08-23",10.13,10.1,0.00296589441337813,172
"173","2016-08-24",9.83,10.13,-0.0300623841015168,173
"174","2016-08-25",9.97,9.83,0.0141416498146718,174
"175","2016-08-26",9.89,9.97,-0.00805643833912617,175
"176","2016-08-29",9.81,9.89,-0.00812187205734904,176
"177","2016-08-30",9.67,9.81,-0.0143739641120688,177
"178","2016-08-31",9.43,9.67,-0.0251322128198366,178
"179","2016-09-01",9.44,9.43,0.00105988351204278,179
"180","2016-09-02",9.49,9.44,0.00528263246442728,180
"181","2016-09-06",9.44,9.49,-0.00528263246442728,181
"182","2016-09-07",9.99,9.44,0.0566286125030531,182
"183","2016-09-08",9.81,9.99,-0.0181823190831905,183
"184","2016-09-09",9.9,9.81,0.00913248356327268,184
"185","2016-09-12",9.91,9.9,0.00100959120135213,185
"186","2016-09-13",9.63,9.91,-0.028661122531862,186
"187","2016-09-14",9.58,9.63,-0.00520563382726547,187
"188","2016-09-15",10.1,9.58,0.0528578318644448,188
"189","2016-09-16",10.1,10.1,0,189
"190","2016-09-19",10.09,10.1,-0.000990589481696169,190
"191","2016-09-20",9.8,10.09,-0.0291624486889912,191
"192","2016-09-21",10,9.8,0.0202027073175195,192
"193","2016-09-22",9.76,10,-0.0242926925690448,193
