Date,Open,High,Low,Close,Volume
22-Sep-16,10.07,10.09,9.72,9.76,13230487
21-Sep-16,9.85,10.01,9.80,10.00,10349302
20-Sep-16,10.09,10.13,9.67,9.80,12079394
19-Sep-16,10.15,10.46,10.08,10.09,13741358
16-Sep-16,10.05,10.22,9.95,10.10,15258111
15-Sep-16,9.59,10.11,9.55,10.10,15720871
14-Sep-16,9.68,9.74,9.49,9.58,9587144
13-Sep-16,9.81,9.83,9.46,9.63,13546933
12-Sep-16,9.81,10.07,9.80,9.91,12667003
9-Sep-16,9.67,10.01,9.64,9.90,15164887
8-Sep-16,10.12,10.14,9.77,9.81,17593889
7-Sep-16,9.48,10.02,9.48,9.99,16971584
6-Sep-16,9.55,9.60,9.29,9.44,12913407
2-Sep-16,9.54,9.75,9.41,9.49,12880942
1-Sep-16,9.48,9.52,9.28,9.44,12895843
31-Aug-16,9.67,9.72,9.39,9.43,9745226
30-Aug-16,9.88,9.88,9.60,9.67,8682572
29-Aug-16,9.94,10.02,9.77,9.81,8299156
26-Aug-16,10.02,10.14,9.85,9.89,10419793
25-Aug-16,9.87,9.97,9.70,9.97,14870453
24-Aug-16,10.18,10.18,9.81,9.83,12367488
23-Aug-16,10.15,10.37,10.13,10.13,13726531
22-Aug-16,10.20,10.22,9.90,10.10,16780268
19-Aug-16,10.25,10.46,10.18,10.25,13291750
18-Aug-16,10.79,10.83,10.21,10.28,23014330
17-Aug-16,11.08,11.09,10.66,10.75,23520200
16-Aug-16,11.21,11.30,11.03,11.15,17869267
15-Aug-16,10.63,11.30,10.62,11.29,35206138
12-Aug-16,10.08,10.72,9.70,10.55,57476848
11-Aug-16,9.62,10.11,9.58,9.94,48593564
10-Aug-16,9.29,9.51,9.12,9.15,16159103
9-Aug-16,9.42,9.51,9.18,9.34,12614754
8-Aug-16,9.42,9.59,9.40,9.50,12321863
5-Aug-16,9.23,9.46,9.23,9.39,13452070
4-Aug-16,9.04,9.30,8.93,9.20,12381153
3-Aug-16,8.90,9.14,8.50,9.13,20489406
2-Aug-16,9.66,9.69,9.27,9.28,12364630
1-Aug-16,9.73,9.79,9.62,9.71,8968347
29-Jul-16,9.47,9.72,9.30,9.66,9942120
28-Jul-16,9.39,9.50,9.12,9.49,7449475
27-Jul-16,9.70,9.74,9.20,9.40,13246947
26-Jul-16,9.50,9.82,9.45,9.65,18503030
25-Jul-16,9.20,9.49,9.14,9.47,12408000
22-Jul-16,9.15,9.19,8.94,9.15,10483685
21-Jul-16,8.85,9.22,8.85,9.09,14805585
20-Jul-16,8.59,8.88,8.50,8.87,7081170
19-Jul-16,8.70,8.73,8.50,8.55,6944442
18-Jul-16,8.50,8.71,8.45,8.70,8620529
15-Jul-16,8.60,8.67,8.42,8.46,9594344
14-Jul-16,8.57,8.63,8.51,8.57,5234992
13-Jul-16,8.56,8.69,8.45,8.49,8810338
12-Jul-16,8.72,8.80,8.52,8.56,12953214
11-Jul-16,8.52,8.72,8.51,8.68,9898285
8-Jul-16,8.57,8.67,8.38,8.49,14177933
7-Jul-16,8.58,8.73,8.36,8.47,13217388
6-Jul-16,8.60,8.67,8.30,8.54,15867741
5-Jul-16,8.85,8.90,8.50,8.66,11572075
1-Jul-16,8.80,9.10,8.79,8.93,8363029
30-Jun-16,8.88,8.92,8.74,8.88,9800321
29-Jun-16,8.79,9.10,8.79,8.88,16484482
28-Jun-16,8.49,8.75,8.48,8.69,14902242
27-Jun-16,8.43,8.51,8.01,8.43,16127191
24-Jun-16,8.31,8.53,8.15,8.46,16991648
23-Jun-16,8.48,8.86,8.46,8.55,15558846
22-Jun-16,8.56,8.62,8.41,8.42,7770368
21-Jun-16,8.52,8.62,8.39,8.58,7827099
20-Jun-16,8.58,8.65,8.45,8.46,7591868
17-Jun-16,8.26,8.56,8.26,8.48,9721542
16-Jun-16,8.33,8.36,8.16,8.26,8717604
15-Jun-16,8.00,8.65,7.99,8.35,17004734
14-Jun-16,8.05,8.12,7.91,8.02,9111016
13-Jun-16,8.20,8.32,8.05,8.08,8449832
10-Jun-16,8.23,8.37,8.12,8.20,8541954
9-Jun-16,8.53,8.55,8.21,8.42,13713585
8-Jun-16,8.66,8.80,8.48,8.58,10268547
7-Jun-16,8.48,8.68,8.46,8.64,12046921
6-Jun-16,8.45,8.54,8.37,8.46,11658886
3-Jun-16,8.33,8.50,8.26,8.45,14313170
2-Jun-16,7.79,8.38,7.75,8.36,20244266
1-Jun-16,7.86,7.89,7.70,7.78,11904952
